Years;Gross domestic product, deflator;Gross domestic product per capita, constant prices. National currency (Units);Inflation, average consumer prices;Volume of imports of goods and services %;Volume of exports of goods and services %;Unemployment rate %;Employment. Persons (Millions);General government revenue. National currency (Millions);General government total expenditure. National currency (Millions);General government net debt. National currency (Millions)
1980;38.247;204624.502;34.775;-5.564;5.580;5.287;2.495;195.457;209.858;n/a
1981;42.334;203201.061;38.850;0.555;8.661;7.133;2.456;216.117;246.168;n/a
1982;46.631;210874.646;42.792;3.137;3.165;7.602;2.473;239.785;287.738;n/a
1983;50.076;216458.085;45.717;1.971;4.596;8.375;2.414;274.818;317.771;n/a
1984;53.058;225678.924;48.617;5.362;3.298;7.925;2.481;314.359;341.567;n/a
1985;55.334;234763.186;50.883;9.930;6.037;6.617;2.550;347.422;364.463;n/a
1986;56.618;246018.928;52.775;8.479;1.339;4.983;2.639;384.927;370.009;n/a
1987;59.310;246234.288;54.875;-1.178;4.857;5.000;2.643;408.256;397.093;n/a
1988;61.646;246000.685;57.358;4.224;9.142;5.658;2.672;430.606;428.873;n/a
1989;64.709;247554.573;60.100;5.398;4.658;6.825;2.633;448.115;453.597;n/a
1990;66.394;250924.513;64.208;2.376;6.527;7.167;2.650;456.992;470.150;n/a
1991;68.158;253882.808;65.600;4.031;6.169;7.867;2.636;467.064;493.162;n/a
1992;69.285;258071.965;66.875;-0.131;0.271;8.608;2.623;496.308;520.041;n/a
1993;69.689;257170.289;67.458;-1.415;1.229;9.533;2.564;516.434;550.531;n/a
1994;70.782;270039.768;68.700;13.289;8.236;7.733;2.545;553.159;588.947;n/a
1995;71.689;277200.570;70.100;7.003;2.883;6.758;2.598;569.091;606.612;530.265
1996;73.130;283335.050;71.567;3.121;4.650;6.317;2.634;604.026;631.037;553.929
1997;74.603;291235.026;72.950;9.208;4.488;5.242;2.673;627.016;640.772;564.162
1998;75.526;296570.636;73.908;7.575;4.101;4.883;2.681;652.373;656.981;551.873
1999;76.798;304239.498;75.417;2.553;11.270;5.108;2.689;687.830;677.042;532.228
2000;79.115;314670.489;77.492;13.667;12.578;4.317;2.713;724.150;699.107;525.074
2001;81.107;316121.328;79.250;2.395;3.353;4.508;2.741;740.322;724.679;479.650
2002;83.011;316465.717;81.150;6.376;4.358;4.642;2.710;750.249;750.466;514.327
2003;84.242;316800.925;82.742;-1.024;-1.202;5.433;2.706;768.751;770.664;505.909
2004;86.008;324401.035;83.517;7.137;3.015;5.517;2.733;829.363;798.141;478.127
2005;88.504;331152.446;84.958;11.293;7.729;4.800;2.755;891.269;812.682;402.694
2006;90.342;343088.727;86.525;13.965;10.338;3.900;2.807;922.162;838.266;272.066
2007;92.541;344955.209;87.958;5.838;3.654;3.775;2.795;949.616;862.318;197.591
2008;96.366;341393.600;91.158;4.770;3.872;3.717;2.804;965.312;908.135;141.266
2009;96.875;322546.640;92.108;-11.944;-9.224;6.392;2.724;925.448;973.636;197.902
2010;100.001;327188.026;94.133;0.541;2.940;7.733;2.670;977.230;1026.310;272.229
2011;100.641;330016.682;96.633;7.444;7.195;7.750;2.660;1004.200;1042.167;279.218
2012;103.028;329593.177;98.908;2.709;1.162;7.800;2.645;1032.103;1098.247;351.324
2013;103.942;331362.354;99.425;1.471;1.611;7.375;2.639;1053.309;1077.153;353.191
2014;105.018;335244.574;99.775;3.897;3.129;6.867;2.665;1116.627;1093.954;358.124
2015;105.472;341130.251;100.000;4.561;3.577;6.283;2.715;1083.302;1110.377;329.290
2016;105.739;349274.984;100.017;3.662;4.111;6.008;2.762;1103.915;1106.149;368.923
2017;106.995;356528.502;101.075;4.183;4.814;5.817;2.786;1147.703;1108.531;338.752
2018;107.609;362243.760;101.792;4.757;3.247;5.100;2.833;1154.679;1139.103;299.706
2019;108.408;370973.123;102.533;2.440;5.036;5.042;2.879;1238.147;1149.867;278.132
